client_id,client_type,gender,country,region,acquisition_purpose,loan_applied,referral_channel,satisfaction_score,age,cohort_label,kmeans_cluster,agglomerative_cluster
NX_50324,Corporate,Not Applicable,Japan,Osaka,Investment,Yes,Direct,2,26,Noise,0,0
C2_20907,Individual,Other,United Kingdom,South East,Personal Use,Yes,Social Media,4,29,C2_First_Time_Buyer,0,0
C1_10084,Individual,Other,UAE,Sharjah,Investment,No,Direct,3,56,C1_Global_Investor,1,0
C1_10227,Individual,Female,UAE,Abu Dhabi,Investment,Yes,Agent,5,34,C1_Global_Investor,1,1
C1_10296,Corporate,Not Applicable,UAE,Ras Al Khaimah,Investment,No,Corporate Partnership,5,58,C1_Global_Investor,1,1
C2_20001,Individual,Male,United States,Southwest,Personal Use,No,Friend Referral,3,23,C2_First_Time_Buyer,0,0
C2_21138,Individual,Female,United Kingdom,South East,Personal Use,No,Digital,5,23,C2_First_Time_Buyer,0,0
C1_10711,Corporate,Not Applicable,Canada,Ontario,Personal Use,No,Agent,3,34,C1_Global_Investor,0,1
C3_30301,Corporate,Not Applicable,United States,Midwest,Investment,No,Direct,5,55,C3_Corporate_Buyer,1,1
C3_30027,Corporate,Not Applicable,UAE,Abu Dhabi,Investment,No,Agent,5,55,C3_Corporate_Buyer,1,1
C4_40252,Corporate,Not Applicable,Monaco,La Condamine,Investment,No,Corporate Partnership,5,61,C4_Luxury_Investor,1,1
C3_30821,Corporate,Not Applicable,UAE,Sharjah,Personal Use,Yes,Agent,4,36,C3_Corporate_Buyer,1,1
C3_30681,Corporate,Not Applicable,United States,West Coast,Investment,No,Agent,5,48,C3_Corporate_Buyer,1,1
C4_40683,Individual,Other,Switzerland,Zurich,Investment,No,Direct,5,58,C4_Luxury_Investor,1,1
C2_20615,Corporate,Female,United Kingdom,Midlands,Personal Use,Yes,Digital,3,33,C2_First_Time_Buyer,0,0
C3_30524,Corporate,Not Applicable,UAE,Ras Al Khaimah,Investment,No,Digital,5,49,C3_Corporate_Buyer,1,1
C2_20413,Individual,Male,Australia,Victoria,Personal Use,Yes,Agent,4,30,C2_First_Time_Buyer,0,0
C1_10763,Corporate,Not Applicable,UAE,Sharjah,Investment,No,Direct,5,34,C1_Global_Investor,1,1
C1_10655,Individual,Male,Australia,Western Australia,Investment,No,Direct,4,64,C1_Global_Investor,1,1
NX_50397,Individual,Other,United States,Northeast,Personal Use,No,Direct,4,59,Noise,1,1
C4_40349,Corporate,Not Applicable,Singapore,North Region,Investment,No,Agent,4,55,C4_Luxury_Investor,1,1
C4_40653,Individual,Other,Monaco,La Condamine,Investment,No,Direct,5,68,C4_Luxury_Investor,1,1
C1_10468,Individual,Other,UAE,Sharjah,Investment,No,Corporate Partnership,4,60,C1_Global_Investor,1,1
C1_10157,Corporate,Not Applicable,United Kingdom,London,Investment,No,Corporate Partnership,5,63,C1_Global_Investor,1,1
C2_20295,Individual,Female,United Kingdom,North West,Personal Use,Yes,Friend Referral,3,34,C2_First_Time_Buyer,0,0
C1_10497,Individual,Male,Singapore,Northeast,Investment,No,Corporate Partnership,5,54,C1_Global_Investor,1,1
NX_50340,Individual,Other,Saudi Arabia,Jeddah,Personal Use,Yes,Digital,4,46,Noise,0,1
C3_30440,Corporate,Not Applicable,Singapore,Northeast,Investment,Yes,Corporate Partnership,5,50,C3_Corporate_Buyer,1,1
C3_30956,Corporate,Not Applicable,Singapore,East Region,Personal Use,No,Agent,5,39,C3_Corporate_Buyer,1,1
C1_10373,Corporate,Not Applicable,Germany,Hamburg,Investment,No,Corporate Partnership,5,54,C1_Global_Investor,1,1
C1_10079,Individual,Male,Japan,Nagoya,Investment,No,Corporate Partnership,5,45,C1_Global_Investor,1,1
C2_20553,Individual,Female,United Kingdom,Midlands,Personal Use,Yes,Social Media,3,34,C2_First_Time_Buyer,0,0
C2_20669,Individual,Female,United States,West Coast,Personal Use,No,Digital,3,34,C2_First_Time_Buyer,0,0
C2_21131,Individual,Other,United States,Midwest,Personal Use,No,Digital,3,27,C2_First_Time_Buyer,0,0
NX_50039,Individual,Other,Canada,Quebec,Investment,No,Agent,4,41,Noise,1,1
C1_10465,Individual,Male,United Kingdom,Northeast,Investment,No,Corporate Partnership,5,44,C1_Global_Investor,1,1
C1_10248,Corporate,Not Applicable,Japan,Nagoya,Investment,No,Direct,5,41,C1_Global_Investor,1,1
C1_10931,Corporate,Not Applicable,Canada,Ontario,Investment,No,Corporate Partnership,4,57,C1_Global_Investor,1,1
C2_20335,Individual,Male,United Kingdom,Scotland,Personal Use,Yes,Friend Referral,4,26,C2_First_Time_Buyer,0,0
NX_50124,Individual,Other,UAE,Dubai,Investment,No,Digital,4,26,Noise,0,0
C2_20338,Individual,Male,Canada,British Columbia,Personal Use,Yes,Friend Referral,3,34,C2_First_Time_Buyer,0,0
C2_20406,Individual,Other,United States,Southwest,Personal Use,Yes,Digital,4,32,C2_First_Time_Buyer,0,0
C2_20090,Individual,Male,United States,Midwest,Personal Use,Yes,Social Media,3,34,C2_First_Time_Buyer,0,0
C4_40709,Individual,Male,United Kingdom,Northeast,Investment,No,Agent,5,48,C4_Luxury_Investor,1,1
C1_10742,Corporate,Not Applicable,Canada,Alberta,Investment,No,Direct,4,46,C1_Global_Investor,1,1
C2_21323,Individual,Male,United States,Southeast,Personal Use,No,Social Media,4,24,C2_First_Time_Buyer,0,0
C4_40101,Individual,Other,UAE,Dubai,Investment,No,Friend Referral,4,52,C4_Luxury_Investor,1,1
C2_21123,Individual,Other,Australia,Queensland,Personal Use,No,Direct,1,30,C2_First_Time_Buyer,0,0
C2_21094,Individual,Other,United States,Northeast,Personal Use,Yes,Digital,4,29,C2_First_Time_Buyer,0,0
C1_10240,Corporate,Not Applicable,UAE,Abu Dhabi,Investment,No,Agent,5,58,C1_Global_Investor,1,1
C2_21351,Individual,Male,United Kingdom,London,Personal Use,Yes,Agent,4,29,C2_First_Time_Buyer,0,0
C2_20370,Individual,Female,Canada,British Columbia,Investment,Yes,Digital,3,29,C2_First_Time_Buyer,0,0
C2_20057,Individual,Female,United States,West Coast,Personal Use,Yes,Digital,4,25,C2_First_Time_Buyer,0,0
NX_50416,Individual,Male,Canada,Ontario,Investment,Yes,Friend Referral,4,54,Noise,1,1
C1_10199,Corporate,Not Applicable,Australia,Western Australia,Investment,No,Corporate Partnership,5,63,C1_Global_Investor,1,1
C2_21280,Individual,Male,United States,Southwest,Personal Use,Yes,Agent,5,25,C2_First_Time_Buyer,0,0
NX_50349,Individual,Other,France,Normandy,Investment,Yes,Agent,2,26,Noise,0,0
C2_21220,Individual,Other,United States,Southeast,Personal Use,No,Agent,2,29,C2_First_Time_Buyer,0,0
NX_50371,Individual,Female,Switzerland,Geneva,Investment,No,Friend Referral,4,31,Noise,0,1
C3_30319,Corporate,Not Applicable,Germany,Bavaria,Personal Use,Yes,Agent,3,58,C3_Corporate_Buyer,1,1
C3_30650,Corporate,Not Applicable,United Kingdom,South East,Investment,Yes,Agent,5,56,C3_Corporate_Buyer,1,1
C4_40756,Individual,Other,France,Normandy,Investment,No,Agent,5,49,C4_Luxury_Investor,1,1
C3_30607,Corporate,Not Applicable,United States,West Coast,Investment,Yes,Direct,3,52,C3_Corporate_Buyer,1,0
C2_20973,Individual,Other,United States,West Coast,Personal Use,No,Digital,5,31,C2_First_Time_Buyer,0,0
C2_20375,Individual,Male,Canada,Alberta,Personal Use,Yes,Digital,5,30,C2_First_Time_Buyer,0,0
C4_40468,Individual,Other,Monaco,Fontvieille,Investment,No,Agent,5,37,C4_Luxury_Investor,1,1
C4_40562,Individual,Male,France,Provence,Investment,No,Corporate Partnership,5,65,C4_Luxury_Investor,1,1
NX_50045,Individual,Female,Hong Kong,Hong Kong Island,Personal Use,No,Social Media,3,44,Noise,0,0
C4_40057,Individual,Male,Switzerland,Basel,Investment,No,Direct,5,60,C4_Luxury_Investor,1,1
C1_10964,Individual,Female,Hong Kong,Kowloon,Investment,No,Agent,5,63,C1_Global_Investor,1,1
C1_10179,Individual,Male,Japan,Tokyo,Investment,No,Direct,4,50,C1_Global_Investor,1,1
C4_40198,Individual,Male,Monaco,Monte Carlo,Investment,No,Agent,5,38,C4_Luxury_Investor,1,1
C4_40321,Corporate,Not Applicable,Monaco,Fontvieille,Investment,No,Agent,5,46,C4_Luxury_Investor,1,1
NX_50478,Individual,Other,United States,West Coast,Investment,No,Social Media,4,39,Noise,0,0
C4_40399,Individual,Other,United States,Midwest,Investment,No,Agent,5,61,C4_Luxury_Investor,1,1
NX_50087,Individual,Female,United Kingdom,Midlands,Personal Use,Yes,Agent,5,44,Noise,1,1
C3_30738,Corporate,Not Applicable,Singapore,Central Region,Investment,No,Corporate Partnership,4,39,C3_Corporate_Buyer,1,1
C3_30474,Corporate,Not Applicable,UAE,Abu Dhabi,Personal Use,No,Corporate Partnership,2,31,C3_Corporate_Buyer,0,1
C4_40080,Individual,Other,Switzerland,Zug,Investment,No,Corporate Partnership,5,35,C4_Luxury_Investor,1,1
C3_30387,Corporate,Not Applicable,Germany,Berlin,Investment,No,Agent,4,47,C3_Corporate_Buyer,1,1
C3_30075,Corporate,Not Applicable,United Kingdom,South East,Investment,Yes,Agent,3,47,C3_Corporate_Buyer,1,1
C2_20419,Individual,Male,United States,Northeast,Personal Use,Yes,Friend Referral,4,30,C2_First_Time_Buyer,0,0
C4_40407,Individual,Male,Monaco,La Condamine,Investment,No,Agent,4,60,C4_Luxury_Investor,1,1
NX_50273,Individual,Female,Hong Kong,Kowloon,Investment,Yes,Social Media,5,62,Noise,1,1
NX_50502,Corporate,Not Applicable,Hong Kong,Kowloon,Personal Use,No,Agent,2,35,Noise,0,0
C2_20860,Individual,Other,United Kingdom,Midlands,Investment,Yes,Social Media,4,31,C2_First_Time_Buyer,0,0
C1_10008,Corporate,Not Applicable,Australia,Western Australia,Investment,No,Agent,4,33,C1_Global_Investor,1,1
C3_30394,Corporate,Not Applicable,Singapore,East Region,Personal Use,Yes,Agent,4,50,C3_Corporate_Buyer,1,1
C3_30347,Corporate,Not Applicable,United Kingdom,Scotland,Investment,No,Direct,5,42,C3_Corporate_Buyer,1,1
C4_40164,Individual,Male,Monaco,La Condamine,Investment,No,Direct,5,57,C4_Luxury_Investor,1,1
C1_10144,Individual,Other,UAE,Ras Al Khaimah,Investment,Yes,Direct,4,35,C1_Global_Investor,0,0
C2_21104,Individual,Other,Canada,Alberta,Investment,Yes,Agent,3,30,C2_First_Time_Buyer,0,0
C3_30643,Corporate,Not Applicable,United States,West Coast,Investment,Yes,Direct,3,45,C3_Corporate_Buyer,1,0
C1_10841,Corporate,Not Applicable,UAE,Dubai,Investment,No,Direct,5,63,C1_Global_Investor,1,1
C2_20128,Individual,Male,United States,Southwest,Personal Use,Yes,Digital,4,23,C2_First_Time_Buyer,0,0
C1_10151,Individual,Other,Canada,Ontario,Investment,No,Corporate Partnership,5,64,C1_Global_Investor,1,1
C4_40091,Corporate,Not Applicable,United Kingdom,North West,Investment,No,Agent,5,65,C4_Luxury_Investor,1,1
C2_20052,Individual,Female,United States,West Coast,Personal Use,Yes,Direct,2,34,C2_First_Time_Buyer,0,0
C2_20590,Individual,Other,United Kingdom,Scotland,Investment,No,Friend Referral,4,32,C2_First_Time_Buyer,0,0
C3_30508,Corporate,Not Applicable,United Kingdom,London,Personal Use,No,Corporate Partnership,4,48,C3_Corporate_Buyer,1,1
C2_21029,Individual,Other,United States,Southeast,Personal Use,Yes,Agent,1,25,C2_First_Time_Buyer,0,0
C3_30918,Corporate,Not Applicable,UAE,Ras Al Khaimah,Investment,Yes,Agent,5,47,C3_Corporate_Buyer,1,1
C2_20807,Individual,Other,Australia,Northeast,Personal Use,Yes,Social Media,3,26,C2_First_Time_Buyer,0,0
C3_30196,Corporate,Not Applicable,United Kingdom,Scotland,Investment,Yes,Agent,3,40,C3_Corporate_Buyer,1,1
C3_30539,Corporate,Not Applicable,United Kingdom,Northeast,Investment,Yes,Corporate Partnership,3,53,C3_Corporate_Buyer,1,1
C1_10472,Individual,Male,Canada,British Columbia,Investment,No,Corporate Partnership,5,31,C1_Global_Investor,1,1
C3_30789,Corporate,Not Applicable,United Kingdom,London,Investment,Yes,Digital,3,44,C3_Corporate_Buyer,1,1
C4_40574,Individual,Female,Switzerland,Basel,Investment,No,Agent,5,54,C4_Luxury_Investor,1,1
C3_30996,Corporate,Not Applicable,United States,Northeast,Investment,No,Direct,3,33,C3_Corporate_Buyer,0,1
C1_10279,Corporate,Not Applicable,United Kingdom,South East,Investment,No,Corporate Partnership,5,48,C1_Global_Investor,1,1
C2_20741,Individual,Other,Australia,Western Australia,Personal Use,Yes,Agent,1,22,C2_First_Time_Buyer,0,0
NX_50224,Individual,Female,Monaco,Les Moneghetti,Personal Use,Yes,Social Media,4,71,Noise,1,1
C3_30386,Corporate,Not Applicable,Singapore,Central Region,Investment,No,Corporate Partnership,4,31,C3_Corporate_Buyer,1,1
C2_20941,Individual,Female,United States,Northeast,Personal Use,Yes,Digital,5,33,C2_First_Time_Buyer,0,0
C1_10100,Individual,Other,Canada,Alberta,Investment,Yes,Direct,5,54,C1_Global_Investor,1,1
C3_30304,Corporate,Not Applicable,United States,Northeast,Personal Use,Yes,Agent,3,33,C3_Corporate_Buyer,0,0
C4_40070,Corporate,Not Applicable,Monaco,Monte Carlo,Investment,No,Corporate Partnership,5,49,C4_Luxury_Investor,1,1
C4_40184,Individual,Other,Monaco,La Condamine,Investment,No,Agent,5,58,C4_Luxury_Investor,1,1
C4_40161,Individual,Other,Monaco,Fontvieille,Investment,No,Direct,4,66,C4_Luxury_Investor,1,1
C1_10530,Corporate,Not Applicable,Singapore,North Region,Investment,Yes,Direct,5,36,C1_Global_Investor,1,1
C2_20886,Individual,Male,Canada,Ontario,Personal Use,Yes,Social Media,4,22,C2_First_Time_Buyer,0,0
C1_10681,Individual,Male,Canada,Ontario,Investment,No,Agent,5,64,C1_Global_Investor,1,1
C4_40294,Individual,Male,UAE,Dubai,Investment,No,Direct,5,38,C4_Luxury_Investor,1,1
C4_40444,Individual,Other,United Kingdom,Scotland,Investment,No,Direct,4,55,C4_Luxury_Investor,1,1
NX_50266,Corporate,Not Applicable,Singapore,West Region,Investment,Yes,Social Media,1,35,Noise,0,0
C2_21018,Individual,Other,Canada,British Columbia,Personal Use,Yes,Direct,4,30,C2_First_Time_Buyer,0,0
C2_20096,Individual,Female,United Kingdom,North West,Personal Use,No,Digital,2,22,C2_First_Time_Buyer,0,0
C1_10829,Individual,Other,Australia,New South Wales,Investment,No,Digital,5,37,C1_Global_Investor,1,1
C3_30305,Corporate,Not Applicable,Germany,Bavaria,Investment,No,Agent,4,44,C3_Corporate_Buyer,1,1
C4_40329,Individual,Female,France,Île-de-France,Investment,No,Agent,5,61,C4_Luxury_Investor,1,1
C4_40881,Individual,Female,France,French Riviera,Investment,No,Friend Referral,5,44,C4_Luxury_Investor,1,1
C4_40391,Individual,Other,United States,West Coast,Investment,No,Agent,5,36,C4_Luxury_Investor,1,1
C1_10764,Individual,Female,UAE,Sharjah,Investment,No,Digital,4,63,C1_Global_Investor,1,1
C3_30267,Corporate,Not Applicable,United States,West Coast,Investment,No,Corporate Partnership,3,53,C3_Corporate_Buyer,1,1
C4_40828,Corporate,Not Applicable,UAE,Sharjah,Investment,No,Direct,5,61,C4_Luxury_Investor,1,1
C3_30795,Corporate,Not Applicable,United Kingdom,North West,Personal Use,No,Agent,3,46,C3_Corporate_Buyer,1,1
C2_21194,Individual,Other,United Kingdom,North West,Personal Use,No,Digital,1,28,C2_First_Time_Buyer,0,0
C2_21357,Individual,Female,United States,West Coast,Personal Use,No,Friend Referral,2,29,C2_First_Time_Buyer,0,0
C3_30925,Corporate,Not Applicable,United States,Northeast,Investment,No,Digital,4,45,C3_Corporate_Buyer,1,1
C4_40479,Individual,Other,United Kingdom,South East,Investment,No,Corporate Partnership,5,39,C4_Luxury_Investor,1,1
C1_10911,Individual,Male,UAE,Abu Dhabi,Investment,No,Agent,5,32,C1_Global_Investor,1,1
C3_30645,Corporate,Not Applicable,UAE,Sharjah,Personal Use,No,Corporate Partnership,4,30,C3_Corporate_Buyer,1,1
C1_10999,Individual,Male,Japan,Kyoto,Investment,No,Direct,5,37,C1_Global_Investor,1,1
C4_40153,Corporate,Not Applicable,United States,Northeast,Investment,No,Direct,5,64,C4_Luxury_Investor,1,1
C2_21483,Individual,Male,United Kingdom,North West,Personal Use,Yes,Friend Referral,4,29,C2_First_Time_Buyer,0,0
C4_40576,Individual,Other,Switzerland,Basel,Investment,No,Agent,5,61,C4_Luxury_Investor,1,1
C2_21370,Individual,Female,Canada,Alberta,Personal Use,Yes,Digital,5,24,C2_First_Time_Buyer,0,0
NX_50438,Corporate,Not Applicable,Singapore,West Region,Investment,Yes,Social Media,2,67,Noise,1,0
C1_10033,Corporate,Not Applicable,Singapore,West Region,Investment,No,Direct,5,64,C1_Global_Investor,1,1
C4_40289,Individual,Other,France,French Riviera,Investment,No,Friend Referral,5,59,C4_Luxury_Investor,1,1
C2_20020,Individual,Male,United States,Midwest,Personal Use,No,Social Media,2,32,C2_First_Time_Buyer,0,0
C2_20647,Individual,Male,United States,West Coast,Personal Use,No,Friend Referral,4,34,C2_First_Time_Buyer,0,0
C1_10733,Individual,Other,Germany,Bavaria,Investment,No,Direct,5,51,C1_Global_Investor,1,1
NX_50182,Corporate,Not Applicable,Germany,North Rhine-Westphalia,Investment,Yes,Social Media,3,23,Noise,0,0
C3_30774,Corporate,Not Applicable,UAE,Abu Dhabi,Investment,Yes,Corporate Partnership,4,38,C3_Corporate_Buyer,1,1
C2_20620,Individual,Other,United States,Northeast,Personal Use,Yes,Agent,4,34,C2_First_Time_Buyer,0,0
C3_30635,Corporate,Not Applicable,Singapore,West Region,Investment,No,Agent,4,53,C3_Corporate_Buyer,1,1
C3_30189,Corporate,Not Applicable,United States,West Coast,Investment,Yes,Direct,4,53,C3_Corporate_Buyer,1,1
C3_30207,Corporate,Not Applicable,United States,Southwest,Investment,Yes,Agent,4,44,C3_Corporate_Buyer,1,1
C1_10297,Individual,Other,United Kingdom,North West,Investment,No,Direct,5,56,C1_Global_Investor,1,1
C2_21339,Individual,Female,United States,Northeast,Personal Use,No,Agent,5,32,C2_First_Time_Buyer,0,0
C1_10653,Corporate,Not Applicable,Australia,Western Australia,Investment,No,Corporate Partnership,4,59,C1_Global_Investor,1,1
C4_40274,Corporate,Not Applicable,Monaco,Fontvieille,Investment,No,Direct,5,53,C4_Luxury_Investor,1,1
C2_20255,Individual,Female,United States,Southwest,Personal Use,Yes,Friend Referral,4,34,C2_First_Time_Buyer,0,0
NX_50120,Individual,Female,Australia,Western Australia,Investment,No,Friend Referral,5,21,Noise,0,1
C1_10230,Corporate,Not Applicable,Hong Kong,Kowloon,Investment,No,Direct,5,57,C1_Global_Investor,1,1
C3_30776,Corporate,Not Applicable,United States,Northeast,Investment,No,Corporate Partnership,5,54,C3_Corporate_Buyer,1,1
C3_30730,Corporate,Not Applicable,United Kingdom,North West,Investment,No,Agent,5,32,C3_Corporate_Buyer,1,1
C1_10691,Individual,Other,Australia,Victoria,Investment,No,Agent,4,63,C1_Global_Investor,1,1
C3_30254,Corporate,Not Applicable,United Kingdom,London,Investment,Yes,Direct,2,48,C3_Corporate_Buyer,1,1
NX_50463,Individual,Female,Canada,Quebec,Personal Use,Yes,Direct,5,27,Noise,0,1
C1_10969,Individual,Male,UAE,Dubai,Investment,No,Direct,4,61,C1_Global_Investor,1,1
C1_10633,Individual,Female,Germany,Bavaria,Investment,No,Agent,3,56,C1_Global_Investor,1,0
C4_40592,Individual,Other,United Kingdom,London,Investment,No,Agent,5,41,C4_Luxury_Investor,1,1
C4_40577,Individual,Other,United States,Northeast,Investment,No,Agent,5,63,C4_Luxury_Investor,1,1
