client_id,cohort_label,client_type,gender,country,region,date_of_birth,acquisition_purpose,loan_applied,referral_channel,satisfaction_score
C4_40085,C4_Luxury_Investor,Corporate,Not Applicable,Monaco,Les Moneghetti,1969-02-16,Investment,No,Direct,5
C4_40815,C4_Luxury_Investor,Corporate,Not Applicable,Monaco,Monte Carlo,1980-01-26,Investment,No,,5
NX_50566,Noise,Individual,Male,Hong Kong,New Territories,1999-11-23,Personal Use,Yes,Agent,4
C2_21099,C2_First_Time_Buyer,Individual,Male,United Kingdom,Midlands,1989-01-04,Personal Use,Yes,Friend Referral,4
C4_40099,C4_Luxury_Investor,Individual,Male,United Kingdom,London,1962-08-15,Investment,No,Agent,5
C4_40621,C4_Luxury_Investor,Individual,Female,United States,West Coast,1961-01-03,Investment,No,Agent,5
C1_10029,C1_Global_Investor,Individual,Male,Japan,Osaka,1983-06-06,Investment,Yes,Agent,4
C1_10065,C1_Global_Investor,Individual,Female,Germany,Berlin,1976-09-05,Investment,No,Direct,5
C1_10838,C1_Global_Investor,Corporate,Not Applicable,Australia,New South Wales,1967-06-06,Investment,No,Corporate Partnership,5
C4_40406,C4_Luxury_Investor,Corporate,Not Applicable,United Kingdom,North West,1981-07-24,Investment,No,Agent,5
C4_40273,C4_Luxury_Investor,Individual,Male,UAE,Abu Dhabi,1961-04-24,Investment,,Corporate Partnership,5
NX_50235,Noise,Individual,Other,Canada,Ontario,1961-06-18,,Yes,Direct,5
C3_30661,C3_Corporate_Buyer,Corporate,Not Applicable,United Kingdom,Scotland,1983-04-24,Investment,No,Corporate Partnership,5
C3_30159,C3_Corporate_Buyer,Corporate,Not Applicable,United States,Midwest,1985-03-17,Personal Use,Yes,Corporate Partnership,3
NX_50215,Noise,Corporate,Not Applicable,Switzerland,Zug,1997-12-15,Investment,Yes,Social Media,4
NX_50228,Noise,Individual,Female,Japan,Nagoya,1971-12-24,Personal Use,Yes,,4
C2_21451,C2_First_Time_Buyer,Individual,Female,United States,Southwest,1995-01-25,Personal Use,Yes,Agent,4
C3_30346,C3_Corporate_Buyer,Corporate,Not Applicable,Singapore,North Region,1986-07-01,Investment,Yes,Direct,4
C2_20144,C2_First_Time_Buyer,Individual,Other,United States,Southeast,1999-04-13,Personal Use,No,Digital,3
C3_30578,C3_Corporate_Buyer,Corporate,Not Applicable,UAE,Dubai,1985-09-30,,No,Corporate Partnership,2
C2_20103,C2_First_Time_Buyer,Individual,Male,United States,Southwest,1989-02-21,Personal Use,Yes,Friend Referral,2
C1_10168,C1_Global_Investor,Individual,Other,Hong Kong,New Territories,1963-10-18,Investment,No,Agent,5
C2_20670,C2_First_Time_Buyer,Individual,Other,United Kingdom,London,1991-05-12,Personal Use,Yes,Direct,4
C3_30070,C3_Corporate_Buyer,Corporate,Not Applicable,United Kingdom,North West,1968-06-26,,No,Agent,3
C2_21377,C2_First_Time_Buyer,Individual,Female,Australia,New South Wales,1994-04-20,Personal Use,Yes,Social Media,5
C4_40895,C4_Luxury_Investor,Individual,Female,UAE,Ras Al Khaimah,1979-03-21,Investment,No,Friend Referral,5
C4_40757,C4_Luxury_Investor,Individual,Other,Singapore,East Region,1988-01-10,Investment,No,Corporate Partnership,5
C4_40362,C4_Luxury_Investor,Corporate,Not Applicable,United States,Southwest,1978-05-30,Investment,No,Corporate Partnership,5
C1_10023,C1_Global_Investor,Individual,Other,UAE,Abu Dhabi,1971-03-06,Investment,Yes,Corporate Partnership,5
C3_30133,C3_Corporate_Buyer,Corporate,Not Applicable,Singapore,East Region,1975-10-06,Investment,No,Agent,3
C3_30840,C3_Corporate_Buyer,Corporate,Not Applicable,UAE,Dubai,1979-02-16,Investment,No,Agent,4
C2_21215,C2_First_Time_Buyer,Individual,Other,United States,Southwest,1989-04-07,Personal Use,No,Social Media,3
C4_40182,C4_Luxury_Investor,Corporate,Not Applicable,Monaco,Les Moneghetti,1957-06-07,Investment,No,Agent,5
NX_50324,Noise,Corporate,Not Applicable,Japan,Osaka,1997-06-09,Investment,Yes,Direct,2
C2_20907,C2_First_Time_Buyer,Individual,Other,United Kingdom,South East,1994-12-05,Personal Use,Yes,Social Media,4
C1_10084,C1_Global_Investor,Individual,Other,UAE,Sharjah,1967-07-11,Investment,No,Direct,3
C1_10227,C1_Global_Investor,Individual,Female,UAE,Abu Dhabi,1989-03-23,Investment,Yes,,5
C1_10296,C1_Global_Investor,Corporate,Not Applicable,UAE,Ras Al Khaimah,1965-12-20,Investment,No,Corporate Partnership,5
C2_20001,C2_First_Time_Buyer,Individual,Male,United States,Southwest,2000-10-02,Personal Use,No,Friend Referral,3
C2_21138,C2_First_Time_Buyer,Individual,Female,United Kingdom,South East,2000-12-25,Personal Use,No,Digital,5
C1_10711,C1_Global_Investor,Corporate,Not Applicable,Canada,Ontario,1989-03-02,Personal Use,No,,3
C3_30301,C3_Corporate_Buyer,Corporate,Not Applicable,United States,Midwest,1968-04-12,Investment,No,Direct,5
C3_30027,C3_Corporate_Buyer,Corporate,Not Applicable,UAE,Abu Dhabi,1968-03-24,Investment,No,Agent,5
C4_40252,C4_Luxury_Investor,Corporate,Not Applicable,Monaco,La Condamine,1962-02-04,Investment,No,Corporate Partnership,5
C3_30821,C3_Corporate_Buyer,Corporate,Not Applicable,UAE,Sharjah,1987-12-17,Personal Use,Yes,Agent,4
C3_30681,C3_Corporate_Buyer,Corporate,Not Applicable,United States,West Coast,1975-05-15,Investment,No,Agent,5
C4_40683,C4_Luxury_Investor,Individual,,Switzerland,Zurich,1965-10-31,Investment,No,Direct,5
C2_20615,C2_First_Time_Buyer,Corporate,Female,United Kingdom,Midlands,1990-11-15,Personal Use,Yes,Digital,3
C3_30524,C3_Corporate_Buyer,Corporate,Not Applicable,UAE,Ras Al Khaimah,1974-12-17,Investment,No,Digital,5
C2_20413,C2_First_Time_Buyer,Individual,Male,Australia,Victoria,1993-01-22,Personal Use,Yes,,4
C1_10763,C1_Global_Investor,Corporate,Not Applicable,UAE,Sharjah,1989-04-17,Investment,No,Direct,5
C1_10655,C1_Global_Investor,Individual,Male,Australia,Western Australia,1959-08-31,Investment,No,Direct,4
NX_50397,Noise,Individual,Other,United States,,1964-09-27,Personal Use,No,Direct,4
C4_40349,C4_Luxury_Investor,Corporate,Not Applicable,Singapore,North Region,1968-02-03,Investment,No,,4
C4_40653,C4_Luxury_Investor,Individual,Other,Monaco,La Condamine,1955-05-07,Investment,No,Direct,5
C1_10468,C1_Global_Investor,Individual,Other,UAE,Sharjah,1963-08-12,Investment,No,Corporate Partnership,4
C1_10157,C1_Global_Investor,Corporate,Not Applicable,United Kingdom,London,1960-12-24,Investment,,Corporate Partnership,5
C2_20295,C2_First_Time_Buyer,Individual,Female,United Kingdom,North West,1989-09-13,Personal Use,Yes,Friend Referral,3
C1_10497,C1_Global_Investor,Individual,Male,Singapore,,1969-07-22,Investment,No,Corporate Partnership,5
NX_50340,Noise,Individual,Other,Saudi Arabia,Jeddah,1977-11-24,Personal Use,Yes,Digital,4
C3_30440,C3_Corporate_Buyer,Corporate,Not Applicable,Singapore,,1973-06-30,Investment,Yes,Corporate Partnership,5
C3_30956,C3_Corporate_Buyer,Corporate,Not Applicable,Singapore,East Region,1984-06-01,Personal Use,No,Agent,5
C1_10373,C1_Global_Investor,Corporate,Not Applicable,Germany,Hamburg,1969-03-21,Investment,No,Corporate Partnership,5
C1_10079,C1_Global_Investor,Individual,Male,Japan,Nagoya,1978-12-28,Investment,No,Corporate Partnership,5
C2_20553,C2_First_Time_Buyer,Individual,Female,United Kingdom,Midlands,1989-11-19,Personal Use,Yes,Social Media,3
C2_20669,C2_First_Time_Buyer,Individual,Female,United States,West Coast,1989-07-09,Personal Use,No,Digital,3
C2_21131,C2_First_Time_Buyer,Individual,Other,United States,Midwest,1996-06-11,Personal Use,,Digital,3
NX_50039,Noise,Individual,Other,Canada,Quebec,1982-05-07,Investment,No,Agent,4
C1_10465,C1_Global_Investor,Individual,Male,United Kingdom,,1979-12-28,Investment,,Corporate Partnership,5
C1_10248,C1_Global_Investor,Corporate,Not Applicable,Japan,Nagoya,1982-03-10,Investment,No,Direct,5
C1_10931,C1_Global_Investor,Corporate,Not Applicable,Canada,Ontario,1966-10-09,Investment,No,Corporate Partnership,4
C2_20335,C2_First_Time_Buyer,Individual,Male,United Kingdom,Scotland,1997-04-15,Personal Use,Yes,Friend Referral,4
NX_50124,Noise,Individual,Other,UAE,Dubai,1997-08-09,Investment,No,Digital,4
C2_20338,C2_First_Time_Buyer,Individual,Male,Canada,British Columbia,1989-02-26,Personal Use,Yes,Friend Referral,3
C2_20406,C2_First_Time_Buyer,Individual,Other,United States,Southwest,1991-10-02,Personal Use,Yes,Digital,4
C2_20090,C2_First_Time_Buyer,Individual,Male,United States,Midwest,1989-03-12,Personal Use,Yes,Social Media,3
C4_40709,C4_Luxury_Investor,Individual,Male,United Kingdom,,1975-09-30,Investment,No,Agent,5
C1_10742,C1_Global_Investor,Corporate,Not Applicable,Canada,Alberta,1977-12-08,Investment,No,Direct,4
C2_21323,C2_First_Time_Buyer,Individual,Male,United States,Southeast,1999-12-06,Personal Use,,Social Media,4
C4_40101,C4_Luxury_Investor,Individual,Other,UAE,Dubai,1971-12-10,Investment,,Friend Referral,4
C2_21123,C2_First_Time_Buyer,Individual,,Australia,Queensland,1993-03-10,Personal Use,No,Direct,1
C2_21094,C2_First_Time_Buyer,Individual,,United States,,1994-07-12,Personal Use,Yes,Digital,4
C1_10240,C1_Global_Investor,Corporate,Not Applicable,UAE,Abu Dhabi,1965-11-17,Investment,No,Agent,5
C2_21351,C2_First_Time_Buyer,Individual,Male,United Kingdom,London,1994-02-14,Personal Use,Yes,Agent,4
C2_20370,C2_First_Time_Buyer,Individual,Female,Canada,British Columbia,1994-08-30,,Yes,Digital,3
C2_20057,C2_First_Time_Buyer,Individual,Female,United States,West Coast,1998-03-21,Personal Use,Yes,Digital,4
NX_50416,Noise,Individual,Male,Canada,Ontario,1969-01-27,Investment,Yes,Friend Referral,4
C1_10199,C1_Global_Investor,Corporate,Not Applicable,Australia,Western Australia,1960-10-10,Investment,No,Corporate Partnership,5
C2_21280,C2_First_Time_Buyer,Individual,Male,United States,Southwest,1998-01-04,Personal Use,Yes,Agent,5
NX_50349,Noise,Individual,Other,France,Normandy,1997-01-15,Investment,Yes,Agent,2
C2_21220,C2_First_Time_Buyer,Individual,Other,United States,Southeast,1994-11-25,Personal Use,No,,2
NX_50371,Noise,Individual,Female,Switzerland,Geneva,1992-03-10,Investment,No,Friend Referral,4
C3_30319,C3_Corporate_Buyer,Corporate,Not Applicable,Germany,Bavaria,1965-08-07,Personal Use,Yes,Agent,3
C3_30650,C3_Corporate_Buyer,Corporate,Not Applicable,United Kingdom,South East,1967-04-16,Investment,Yes,Agent,5
C4_40756,C4_Luxury_Investor,Individual,Other,France,Normandy,1974-05-19,Investment,,Agent,5
C3_30607,C3_Corporate_Buyer,Corporate,Not Applicable,United States,West Coast,1971-10-03,Investment,Yes,Direct,3
C2_20973,C2_First_Time_Buyer,Individual,Other,United States,West Coast,1992-09-08,Personal Use,,Digital,5
C2_20375,C2_First_Time_Buyer,Individual,Male,Canada,Alberta,1993-06-11,Personal Use,Yes,Digital,5
C4_40468,C4_Luxury_Investor,Individual,Other,Monaco,Fontvieille,1986-11-24,Investment,No,Agent,5
C4_40562,C4_Luxury_Investor,Individual,Male,France,Provence,1958-08-22,Investment,No,Corporate Partnership,5
NX_50045,Noise,Individual,Female,Hong Kong,Hong Kong Island,1979-12-11,Personal Use,No,Social Media,3
C4_40057,C4_Luxury_Investor,Individual,Male,Switzerland,Basel,1963-08-24,,No,Direct,5
C1_10964,C1_Global_Investor,Individual,Female,Hong Kong,Kowloon,1960-11-16,Investment,No,Agent,5
C1_10179,C1_Global_Investor,Individual,Male,Japan,Tokyo,1973-07-13,Investment,,Direct,4
C4_40198,C4_Luxury_Investor,Individual,Male,Monaco,Monte Carlo,1985-07-12,Investment,No,Agent,5
C4_40321,C4_Luxury_Investor,Corporate,Not Applicable,Monaco,Fontvieille,1977-12-15,Investment,No,,5
NX_50478,Noise,Individual,Other,United States,West Coast,1984-10-08,Investment,No,Social Media,4
C4_40399,C4_Luxury_Investor,Individual,Other,United States,Midwest,1962-12-03,Investment,No,Agent,5
NX_50087,Noise,Individual,Female,United Kingdom,Midlands,1979-06-22,Personal Use,Yes,Agent,5
C3_30738,C3_Corporate_Buyer,Corporate,Not Applicable,Singapore,Central Region,1984-11-24,Investment,No,Corporate Partnership,4
C3_30474,C3_Corporate_Buyer,Corporate,Not Applicable,UAE,Abu Dhabi,1992-01-25,Personal Use,No,Corporate Partnership,2
C4_40080,C4_Luxury_Investor,Individual,Other,Switzerland,Zug,1988-08-31,Investment,No,Corporate Partnership,5
C3_30387,C3_Corporate_Buyer,Corporate,Not Applicable,Germany,Berlin,1976-02-18,Investment,No,Agent,4
C3_30075,C3_Corporate_Buyer,Corporate,Not Applicable,United Kingdom,South East,1976-11-24,Investment,Yes,Agent,3
C2_20419,C2_First_Time_Buyer,Individual,Male,United States,Northeast,1993-09-03,Personal Use,Yes,Friend Referral,4
C4_40407,C4_Luxury_Investor,Individual,Male,Monaco,La Condamine,1963-10-15,Investment,No,Agent,4
NX_50273,Noise,Individual,Female,Hong Kong,Kowloon,1961-04-28,Investment,Yes,Social Media,5
NX_50502,Noise,Corporate,Not Applicable,Hong Kong,Kowloon,1988-07-06,Personal Use,,,2
C2_20860,C2_First_Time_Buyer,Individual,Other,United Kingdom,Midlands,1992-06-11,Investment,Yes,Social Media,4
C1_10008,C1_Global_Investor,Corporate,Not Applicable,Australia,Western Australia,1990-09-07,Investment,No,Agent,4
C3_30394,C3_Corporate_Buyer,Corporate,Not Applicable,Singapore,East Region,1973-01-02,Personal Use,Yes,Agent,4
C3_30347,C3_Corporate_Buyer,Corporate,Not Applicable,United Kingdom,Scotland,1981-02-26,Investment,No,Direct,5
C4_40164,C4_Luxury_Investor,Individual,Male,Monaco,La Condamine,1966-10-28,Investment,No,Direct,5
C1_10144,C1_Global_Investor,Individual,Other,UAE,Ras Al Khaimah,1988-08-05,Investment,Yes,Direct,4
C2_21104,C2_First_Time_Buyer,Individual,,Canada,Alberta,1993-07-17,Investment,Yes,,3
C3_30643,C3_Corporate_Buyer,Corporate,,United States,West Coast,1978-10-01,Investment,Yes,Direct,3
C1_10841,C1_Global_Investor,Corporate,Not Applicable,UAE,Dubai,1960-08-11,Investment,No,Direct,5
C2_20128,C2_First_Time_Buyer,Individual,Male,United States,Southwest,2000-03-22,Personal Use,Yes,Digital,4
C1_10151,C1_Global_Investor,Individual,Other,Canada,Ontario,1959-03-30,Investment,No,Corporate Partnership,5
C4_40091,C4_Luxury_Investor,Corporate,Not Applicable,United Kingdom,North West,1958-06-12,Investment,No,Agent,5
C2_20052,C2_First_Time_Buyer,Individual,Female,United States,West Coast,1989-06-14,Personal Use,Yes,Direct,2
C2_20590,C2_First_Time_Buyer,Individual,Other,United Kingdom,Scotland,1991-02-21,Investment,,Friend Referral,4
C3_30508,C3_Corporate_Buyer,Corporate,Not Applicable,United Kingdom,London,1975-01-01,Personal Use,No,Corporate Partnership,4
C2_21029,C2_First_Time_Buyer,Individual,Other,United States,Southeast,1998-05-22,Personal Use,Yes,Agent,1
C3_30918,C3_Corporate_Buyer,Corporate,Not Applicable,UAE,Ras Al Khaimah,1976-12-18,Investment,Yes,Agent,5
C2_20807,C2_First_Time_Buyer,Individual,Other,Australia,,1997-12-16,Personal Use,Yes,Social Media,3
C3_30196,C3_Corporate_Buyer,Corporate,Not Applicable,United Kingdom,Scotland,1983-01-28,Investment,Yes,Agent,3
C3_30539,C3_Corporate_Buyer,Corporate,Not Applicable,United Kingdom,,1970-10-02,Investment,Yes,Corporate Partnership,3
C1_10472,C1_Global_Investor,Individual,Male,Canada,British Columbia,1992-02-22,Investment,No,Corporate Partnership,5
C3_30789,C3_Corporate_Buyer,Corporate,Not Applicable,United Kingdom,London,1979-07-26,Investment,Yes,Digital,3
C4_40574,C4_Luxury_Investor,Individual,Female,Switzerland,Basel,1969-11-24,,No,Agent,5
C3_30996,C3_Corporate_Buyer,Corporate,Not Applicable,United States,,1990-05-28,Investment,No,Direct,3
C1_10279,C1_Global_Investor,Corporate,Not Applicable,United Kingdom,South East,1975-09-27,Investment,No,Corporate Partnership,5
C2_20741,C2_First_Time_Buyer,Individual,Other,Australia,Western Australia,2001-07-07,Personal Use,Yes,,1
NX_50224,Noise,Individual,Female,Monaco,Les Moneghetti,1952-06-10,Personal Use,Yes,Social Media,4
C3_30386,C3_Corporate_Buyer,Corporate,Not Applicable,Singapore,Central Region,1992-09-01,,No,Corporate Partnership,4
C2_20941,C2_First_Time_Buyer,Individual,Female,United States,Northeast,1990-01-11,Personal Use,Yes,Digital,5
C1_10100,C1_Global_Investor,Individual,Other,Canada,Alberta,1969-02-16,Investment,Yes,Direct,5
C3_30304,C3_Corporate_Buyer,Corporate,Not Applicable,United States,Northeast,1990-05-11,Personal Use,Yes,Agent,3
C4_40070,C4_Luxury_Investor,Corporate,Not Applicable,Monaco,Monte Carlo,1974-09-23,Investment,No,Corporate Partnership,5
C4_40184,C4_Luxury_Investor,Individual,Other,Monaco,La Condamine,1965-07-27,Investment,No,Agent,5
C4_40161,C4_Luxury_Investor,Individual,Other,Monaco,Fontvieille,1957-11-28,Investment,No,Direct,4
C1_10530,C1_Global_Investor,Corporate,Not Applicable,Singapore,North Region,1987-10-29,Investment,Yes,Direct,5
C2_20886,C2_First_Time_Buyer,Individual,Male,Canada,Ontario,2001-02-22,Personal Use,Yes,Social Media,4
C1_10681,C1_Global_Investor,Individual,Male,Canada,Ontario,1959-06-27,Investment,No,Agent,5
C4_40294,C4_Luxury_Investor,Individual,Male,UAE,Dubai,1985-06-04,Investment,No,Direct,5
C4_40444,C4_Luxury_Investor,Individual,Other,United Kingdom,Scotland,1968-01-15,Investment,No,Direct,4
NX_50266,Noise,Corporate,Not Applicable,Singapore,West Region,1988-02-26,Investment,Yes,Social Media,1
C2_21018,C2_First_Time_Buyer,Individual,Other,Canada,British Columbia,1993-02-17,Personal Use,Yes,Direct,4
C2_20096,C2_First_Time_Buyer,Individual,Female,United Kingdom,North West,2001-12-25,Personal Use,No,Digital,2
C1_10829,C1_Global_Investor,Individual,,Australia,New South Wales,1986-10-05,Investment,No,Digital,5
C3_30305,C3_Corporate_Buyer,Corporate,Not Applicable,Germany,Bavaria,1979-08-29,Investment,No,Agent,4
C4_40329,C4_Luxury_Investor,Individual,Female,France,Île-de-France,1962-04-12,,No,Agent,5
C4_40881,C4_Luxury_Investor,Individual,Female,France,French Riviera,1979-08-16,Investment,No,Friend Referral,5
C4_40391,C4_Luxury_Investor,Individual,,United States,West Coast,1987-07-11,Investment,No,Agent,5
C1_10764,C1_Global_Investor,Individual,Female,UAE,Sharjah,1960-12-02,Investment,No,Digital,4
C3_30267,C3_Corporate_Buyer,Corporate,Not Applicable,United States,West Coast,1970-11-03,Investment,No,Corporate Partnership,3
C4_40828,C4_Luxury_Investor,Corporate,Not Applicable,UAE,Sharjah,1962-03-22,Investment,No,Direct,5
C3_30795,C3_Corporate_Buyer,Corporate,Not Applicable,United Kingdom,North West,1977-01-27,Personal Use,No,Agent,3
C2_21194,C2_First_Time_Buyer,Individual,Other,United Kingdom,North West,1995-02-04,Personal Use,No,Digital,1
C2_21357,C2_First_Time_Buyer,Individual,Female,United States,West Coast,1994-11-05,Personal Use,No,Friend Referral,2
C3_30925,C3_Corporate_Buyer,Corporate,Not Applicable,United States,Northeast,1978-12-10,Investment,No,Digital,4
C4_40479,C4_Luxury_Investor,Individual,Other,United Kingdom,South East,1984-08-05,Investment,No,Corporate Partnership,5
C1_10911,C1_Global_Investor,Individual,Male,UAE,Abu Dhabi,1991-06-27,Investment,No,Agent,5
C3_30645,C3_Corporate_Buyer,Corporate,Not Applicable,UAE,Sharjah,1993-12-09,Personal Use,No,Corporate Partnership,4
C1_10999,C1_Global_Investor,Individual,Male,Japan,Kyoto,1986-06-17,,,Direct,5
C4_40153,C4_Luxury_Investor,Corporate,Not Applicable,United States,Northeast,1959-05-23,Investment,No,Direct,5
C2_21483,C2_First_Time_Buyer,Individual,Male,United Kingdom,North West,1994-09-30,Personal Use,Yes,Friend Referral,4
C4_40576,C4_Luxury_Investor,Individual,Other,Switzerland,Basel,1962-11-20,Investment,No,Agent,5
C2_21370,C2_First_Time_Buyer,Individual,Female,Canada,Alberta,1999-08-30,Personal Use,Yes,Digital,5
NX_50438,Noise,Corporate,Not Applicable,Singapore,West Region,1956-04-21,Investment,Yes,Social Media,2
C1_10033,C1_Global_Investor,Corporate,Not Applicable,Singapore,West Region,1959-06-06,Investment,No,Direct,5
C4_40289,C4_Luxury_Investor,Individual,Other,France,French Riviera,1964-07-29,Investment,No,Friend Referral,5
C2_20020,C2_First_Time_Buyer,Individual,Male,United States,Midwest,1991-09-22,Personal Use,,Social Media,2
C2_20647,C2_First_Time_Buyer,Individual,Male,United States,West Coast,1989-05-30,Personal Use,No,Friend Referral,4
C1_10733,C1_Global_Investor,Individual,Other,Germany,Bavaria,1972-12-02,Investment,No,Direct,5
NX_50182,Noise,Corporate,Not Applicable,Germany,North Rhine-Westphalia,2000-08-19,Investment,Yes,Social Media,3
C3_30774,C3_Corporate_Buyer,Corporate,Not Applicable,UAE,Abu Dhabi,1985-10-06,Investment,Yes,Corporate Partnership,4
C2_20620,C2_First_Time_Buyer,Individual,Other,United States,Northeast,1989-01-18,Personal Use,Yes,Agent,4
C3_30635,C3_Corporate_Buyer,Corporate,Not Applicable,Singapore,West Region,1970-02-02,Investment,No,Agent,4
C3_30189,C3_Corporate_Buyer,Corporate,Not Applicable,United States,West Coast,1970-02-25,Investment,Yes,Direct,4
C3_30207,C3_Corporate_Buyer,Corporate,Not Applicable,United States,Southwest,1979-08-06,Investment,Yes,Agent,4
C1_10297,C1_Global_Investor,Individual,Other,United Kingdom,North West,1967-02-28,Investment,No,Direct,5
C2_21339,C2_First_Time_Buyer,Individual,Female,United States,Northeast,1991-03-09,Personal Use,No,Agent,5
C1_10653,C1_Global_Investor,Corporate,Not Applicable,Australia,Western Australia,1964-04-29,Investment,No,Corporate Partnership,4
C4_40274,C4_Luxury_Investor,Corporate,Not Applicable,Monaco,Fontvieille,1970-11-10,Investment,No,Direct,5
C2_20255,C2_First_Time_Buyer,Individual,Female,United States,Southwest,1989-12-08,Personal Use,Yes,Friend Referral,4
NX_50120,Noise,Individual,Female,Australia,Western Australia,2002-05-22,Investment,No,Friend Referral,5
C1_10230,C1_Global_Investor,Corporate,Not Applicable,Hong Kong,Kowloon,1966-09-02,Investment,No,Direct,5
C3_30776,C3_Corporate_Buyer,Corporate,Not Applicable,United States,Northeast,1969-01-31,Investment,No,Corporate Partnership,5
C3_30730,C3_Corporate_Buyer,Corporate,Not Applicable,United Kingdom,North West,1991-07-28,Investment,No,Agent,5
C1_10691,C1_Global_Investor,Individual,Other,Australia,Victoria,1960-11-10,Investment,No,Agent,4
C3_30254,C3_Corporate_Buyer,Corporate,Not Applicable,United Kingdom,London,1975-01-17,Investment,Yes,Direct,2
NX_50463,Noise,Individual,Female,Canada,Quebec,1996-02-14,Personal Use,Yes,Direct,5
C1_10969,C1_Global_Investor,Individual,Male,UAE,Dubai,1962-02-15,Investment,No,Direct,4
C1_10633,C1_Global_Investor,Individual,Female,Germany,Bavaria,1967-06-27,Investment,No,Agent,3
C4_40592,C4_Luxury_Investor,Individual,Other,United Kingdom,London,1982-12-08,Investment,No,Agent,5
